epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3043,2.08605,6.76298,1.44134,0.00661,0.12973,0.01329,0.00844,1.49221,4.63459,1.05983,5.79106e-05,5.79106e-05,5.79106e-05
2,55.1439,1.59632,5.57021,1.09622,0.31805,0.07288,0.0432,0.02286,1.53363,3.69472,1.11733,0.000113942,0.000113942,0.000113942
3,81.5367,1.56477,4.91499,1.10463,0.13302,0.22003,0.10856,0.06375,1.50157,3.09718,1.13213,0.000167664,0.000167664,0.000167664
4,109.169,1.56737,4.47696,1.11643,0.217,0.32996,0.25737,0.15051,1.45172,2.59443,1.1158,0.000164605,0.000164605,0.000164605
5,137.359,1.51975,4.00271,1.11533,0.30623,0.44536,0.37633,0.23275,1.44592,2.26499,1.13807,0.00016114,0.00016114,0.00016114
6,166.545,1.49556,3.55195,1.11393,0.3423,0.57207,0.48474,0.2887,1.47238,1.94846,1.14163,0.000157675,0.000157675,0.000157675
7,195.858,1.4877,3.20389,1.12767,0.45171,0.7233,0.59623,0.35724,1.44295,1.74805,1.14761,0.00015421,0.00015421,0.00015421
8,226.339,1.4888,2.99984,1.14014,0.52057,0.72977,0.6615,0.40081,1.41371,1.58963,1.14528,0.000150745,0.000150745,0.000150745
9,258.862,1.44568,2.73484,1.13074,0.5342,0.77131,0.70385,0.43156,1.43029,1.50031,1.15181,0.00014728,0.00014728,0.00014728
10,289.553,1.44235,2.55764,1.12519,0.56237,0.82725,0.72023,0.43817,1.42646,1.39605,1.15701,0.000143815,0.000143815,0.000143815
11,320.806,1.41213,2.39263,1.11877,0.56869,0.86363,0.75019,0.45958,1.4288,1.32145,1.15868,0.00014035,0.00014035,0.00014035
