epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,626.505,1.85391,6.27503,1.26037,0.00761,0.69925,0.01617,0.00963,1.59351,5.88915,1.17463,0.00330918,0.00330918,0.00330918
2,1205.65,1.64951,5.27119,1.15512,0.14481,0.18808,0.05826,0.03022,1.57162,5.44993,1.23976,0.00662607,0.00662607,0.00662607
3,1780.33,1.68892,4.77342,1.23534,0.20927,0.34352,0.08898,0.04697,1.63339,6.28109,1.37064,0.00992646,0.00992646,0.00992646
4,2354.29,1.68599,4.27582,1.29113,0.00903,0.3105,0.03864,0.01423,2.42656,6.89551,2.01865,0.00992575,0.00992575,0.00992575
5,2926.03,1.64576,3.83571,1.29907,0.1963,0.47383,0.25265,0.13755,1.55705,4.13407,1.38216,0.009901,0.009901,0.009901
