epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1155.73,1.3578,1.17074,1.21899,0.60334,0.84154,0.78447,0.4916,1.38541,1.13387,1.30208,0.0089605,0.0089605,0.0089605
44,1183.94,1.34214,1.12505,1.20295,0.55212,0.84901,0.74884,0.46211,1.3844,1.1615,1.29982,0.00893575,0.00893575,0.00893575
45,1210.84,1.35463,1.13695,1.20928,0.5681,0.76711,0.69646,0.43728,1.39902,1.33847,1.31396,0.008911,0.008911,0.008911
46,1238.09,1.37677,1.16099,1.22059,0.60075,0.83444,0.77606,0.48414,1.38949,1.11056,1.30856,0.00888625,0.00888625,0.00888625
47,1264.9,1.34639,1.13041,1.20361,0.57451,0.82784,0.74822,0.46774,1.3705,1.1954,1.28462,0.0088615,0.0088615,0.0088615
48,1292.35,1.35375,1.14066,1.20363,0.60946,0.85504,0.76636,0.483,1.37639,1.10137,1.29128,0.00883675,0.00883675,0.00883675
49,1319.95,1.36804,1.13791,1.22248,0.58835,0.90278,0.78939,0.48515,1.3992,1.08162,1.30054,0.008812,0.008812,0.008812
50,1347.84,1.34218,1.11977,1.19664,0.57386,0.91485,0.79039,0.49293,1.40238,1.06834,1.30587,0.00878725,0.00878725,0.00878725
51,1376.88,1.3414,1.1065,1.19345,0.59483,0.87857,0.78117,0.4933,1.35553,1.04423,1.27715,0.0087625,0.0087625,0.0087625
52,1406.65,1.34419,1.10832,1.19211,0.61852,0.83277,0.77317,0.4961,1.37001,1.0844,1.2869,0.00873775,0.00873775,0.00873775
53,1434.76,1.35117,1.11289,1.20664,0.61577,0.82502,0.78399,0.48874,1.35748,1.07803,1.28929,0.008713,0.008713,0.008713
54,1462.6,1.35038,1.09283,1.20896,0.6294,0.85641,0.77814,0.49773,1.34752,1.06348,1.28077,0.00868825,0.00868825,0.00868825
55,1490.04,1.3326,1.10787,1.19499,0.6023,0.8857,0.78212,0.49097,1.34865,1.05261,1.28048,0.0086635,0.0086635,0.0086635
56,1518.06,1.33893,1.08668,1.19179,0.60904,0.85709,0.79279,0.50105,1.36654,1.0771,1.28821,0.00863875,0.00863875,0.00863875
57,1545.92,1.3514,1.08241,1.21367,0.62251,0.83032,0.7876,0.50379,1.3325,1.02826,1.2662,0.008614,0.008614,0.008614
58,1574.59,1.32405,1.04526,1.19494,0.59473,0.88637,0.78702,0.50133,1.36078,1.00594,1.28099,0.00858925,0.00858925,0.00858925
59,1604.25,1.32285,1.07564,1.18855,0.57269,0.87096,0.79042,0.49857,1.37466,1.03778,1.29274,0.0085645,0.0085645,0.0085645
60,1633.31,1.31695,1.06087,1.18675,0.62645,0.83242,0.78681,0.49966,1.36098,1.05912,1.27883,0.00853975,0.00853975,0.00853975
61,1661.9,1.33913,1.06808,1.19739,0.60629,0.85477,0.79142,0.50602,1.33634,1.04054,1.27721,0.008515,0.008515,0.008515
62,1690.86,1.33231,1.0654,1.19358,0.60293,0.86671,0.78556,0.49469,1.3505,1.0288,1.27666,0.00849025,0.00849025,0.00849025
63,1719.51,1.3254,1.03757,1.18815,0.62485,0.84573,0.78572,0.50014,1.36439,1.01403,1.29015,0.0084655,0.0084655,0.0084655
64,1748.86,1.30235,1.04253,1.19297,0.62155,0.84226,0.76684,0.48685,1.35829,1.06255,1.28121,0.00844075,0.00844075,0.00844075
65,1777.23,1.3202,1.06406,1.19814,0.66015,0.79494,0.79233,0.50177,1.36092,1.00201,1.2808,0.008416,0.008416,0.008416
66,1805.51,1.31177,1.03764,1.17646,0.6265,0.83484,0.79872,0.50098,1.36246,1.0188,1.28025,0.00839125,0.00839125,0.00839125
